Report Date,FORESADDLE PRICE,FORESADDLE CHANGE,FORESADDLE %,FORESADDLE WEIGHT
02/04/2019,421.0372,1.1664,48.9200,33.7548
02/01/2019,419.8708,-6.0664,48.9200,33.7548
01/31/2019,425.9372,-1.4131,48.9200,33.7548
01/30/2019,427.3503,0.8791,48.9200,33.7548
01/29/2019,426.4712,-0.9457,48.9200,33.7548
01/28/2019,427.4169,-2.2150,48.9200,33.7548
01/25/2019,429.6319,1.4293,48.9200,33.7548
01/24/2019,428.2026,0.0511,48.9200,33.7548
01/23/2019,428.1515,0.2657,48.9200,33.7548
01/22/2019,427.8858,2.2198,48.9200,33.7548
01/21/2019,425.6660,2.1711,48.9200,33.7548
01/18/2019,423.4949,2.4771,48.9200,33.7548
01/17/2019,421.0178,1.1723,48.9200,33.7548
01/16/2019,419.8455,5.8737,48.9200,33.7548
01/15/2019,413.9718,-0.6377,48.9200,33.7548
01/14/2019,414.6095,0.6789,48.9200,33.7548
01/11/2019,413.9306,2.9447,48.9200,33.7548
01/10/2019,410.9859,-0.5528,48.9200,33.7548
01/09/2019,411.5387,-3.9348,48.9200,33.7548
01/08/2019,415.4735,-0.0273,48.9200,33.7548
01/07/2019,415.5008,4.0973,48.9200,33.7548
01/04/2019,411.4035,-2.9206,49.1200,33.8928
01/03/2019,414.3241,-3.5207,49.1200,33.8928
01/02/2019,417.8448,-2.4094,49.1200,33.8928
12/31/2018,420.2542,-4.5034,49.1200,33.8928
12/28/2018,424.7576,-2.1563,49.1200,33.8928
12/27/2018,426.9139,9.8091,49.1200,33.8928
12/26/2018,417.1048,-1.3308,49.1200,33.8928
12/21/2018,418.4356,1.5840,49.1200,33.8928
12/20/2018,416.8516,-3.7033,49.1200,33.8928
12/19/2018,420.5549,-1.6956,49.1200,34.3840
12/18/2018,422.2505,0.8886,49.1200,34.3840
12/17/2018,421.3619,1.9535,49.1200,34.3840
12/14/2018,419.4084,-2.4802,49.1200,34.3840
12/13/2018,421.8886,2.2527,49.1200,34.3840
12/12/2018,419.6359,1.4316,49.1200,32.9104
12/11/2018,418.2043,0.7579,49.1200,32.9104
12/10/2018,417.4464,1.5544,49.1200,32.9104
12/07/2018,415.8920,1.5486,49.1200,32.9104
12/06/2018,414.3434,1.4001,49.1200,32.9104
12/05/2018,412.9433,-0.3117,49.1200,33.8928
12/04/2018,413.2550,-0.9603,49.1200,33.8928
12/03/2018,414.2153,1.3904,49.1200,33.8928
11/30/2018,412.8249,2.0147,49.1200,33.8928
11/29/2018,410.8102,-2.9493,49.1200,33.8928
11/28/2018,413.7595,-0.0209,49.1200,32.4192
11/27/2018,413.7804,2.3186,49.1200,32.4192
11/26/2018,411.4618,-3.7400,49.1200,32.4192
11/23/2018,415.2018,-2.0507,49.1200,32.4192
11/21/2018,417.2525,3.9927,49.1200,32.4192
11/20/2018,413.2598,-1.6463,49.1200,32.4192
11/19/2018,414.9061,-0.1389,49.1200,32.4192
11/16/2018,415.0450,3.1563,49.1200,32.4192
11/15/2018,411.8887,-1.9134,49.1200,32.4192
11/14/2018,413.8021,-4.4855,49.1200,32.4192
11/13/2018,418.2876,3.5118,49.1200,32.4192
11/12/2018,414.7758,1.9361,49.1200,32.4192
