Report Date,GROSS CARCASS PRICE,GROSS CARCASS CHANGE,GROSS CARCASS %,GROSS CARCASS WEIGHT
08/15/2014,360.5496,-0.3204,95.7400,67.0180
08/14/2014,360.8723,2.3623,95.7400,67.0180
08/13/2014,358.5093,-1.6107,95.7400,64.1458
08/12/2014,360.1220,-0.7580,95.7400,64.1458
08/11/2014,360.8764,1.9064,95.7400,64.1458
08/08/2014,358.9652,-1.5248,95.7400,64.1458
08/07/2014,360.4927,-1.9973,95.7400,64.1458
08/06/2014,362.4920,0.9120,95.7400,64.1458
08/05/2014,361.5846,-2.4954,95.7400,64.1458
08/04/2014,364.0751,-0.3649,95.7400,64.1458
08/01/2014,364.4367,2.0867,95.7400,64.1458
07/31/2014,362.3514,1.6914,95.7400,64.1458
07/30/2014,360.6588,-1.9012,95.7400,65.1032
07/29/2014,362.5550,2.9450,95.7400,65.1032
07/28/2014,359.6149,-0.6251,95.7400,65.1032
07/25/2014,360.2440,-1.6260,95.7400,65.1032
07/24/2014,361.8710,1.3510,95.7400,65.1032
07/23/2014,360.5241,1.8641,95.7400,65.1032
07/22/2014,358.6581,-1.1619,95.7400,65.1032
07/21/2014,359.8164,1.6064,95.7400,65.1032
07/18/2014,358.2088,-2.0612,95.7400,65.1032
07/17/2014,360.2655,-2.1245,95.7400,65.1032
07/16/2014,362.3907,0.8207,95.7400,66.0606
07/15/2014,361.5704,-0.8796,95.7400,66.0606
07/14/2014,362.4489,-0.1611,95.7400,66.0606
07/11/2014,362.6129,2.2429,95.7400,66.0606
07/10/2014,360.3655,0.8655,95.7400,66.0606
07/09/2014,359.4980,-2.4220,95.7400,67.9754
07/08/2014,361.9231,-0.0869,95.7400,67.9754
07/07/2014,362.0060,0.9660,95.7400,67.9754
07/03/2014,361.0406,1.0206,95.7400,67.9754
07/02/2014,360.0150,0.2750,95.7400,68.9328
07/01/2014,359.7353,1.2353,95.7400,68.9328
06/30/2014,358.5008,0.0208,95.7400,68.9328
06/27/2014,358.4756,0.0256,95.7400,68.9328
06/26/2014,358.4499,0.0699,95.7400,68.9328
06/25/2014,358.3797,-0.7003,95.7400,69.8902
06/24/2014,359.0814,-0.3586,95.7400,69.8902
06/23/2014,359.4366,0.2366,95.7400,69.8902
06/20/2014,359.1988,0.6888,95.7400,69.8902
06/19/2014,358.5136,-0.6664,95.7400,69.8902
06/18/2014,359.1805,0.9005,95.7400,70.8476
06/17/2014,358.2803,-1.0297,95.7400,70.8476
06/16/2014,359.3136,1.4036,95.7400,70.8476
06/13/2014,357.9080,-2.8620,95.7400,70.8476
06/12/2014,360.7694,0.7894,95.7400,70.8476
06/11/2014,359.9836,-0.9364,95.7400,69.8902
06/10/2014,360.9163,-1.1237,95.7400,69.8902
06/09/2014,362.0413,-2.7287,95.7400,69.8902
06/06/2014,364.7700,0.5300,95.7400,69.8902
06/05/2014,364.2363,-0.6337,95.7400,69.8902
06/04/2014,364.8718,1.4318,95.7400,69.8902
06/03/2014,363.4409,2.4009,95.7400,69.8902
06/02/2014,361.0385,0.3785,95.7400,69.8902
05/30/2014,360.6611,0.2111,95.7400,69.8902
05/29/2014,360.4468,-0.9732,95.7400,69.8902
05/28/2014,361.4185,-0.5715,95.7400,70.8476
05/27/2014,361.9891,-2.2509,95.7400,70.8476
05/23/2014,364.2418,-2.4782,95.7400,70.8476
05/22/2014,366.7228,-0.1172,95.7400,70.8476
05/21/2014,366.8392,-0.5308,95.7400,70.8476
05/20/2014,367.3715,-1.4485,95.7400,70.8476
05/19/2014,368.8194,-0.5806,95.7400,70.8476
05/16/2014,369.4016,-1.0984,95.7400,70.8476
05/15/2014,370.4997,-0.6203,95.7400,70.8476
05/14/2014,371.1173,-0.2427,95.7400,70.8476
05/13/2014,371.3552,-0.1348,95.7400,70.8476
05/12/2014,371.4917,0.0217,95.7400,70.8476
05/09/2014,371.4722,0.8922,95.7400,70.8476
05/08/2014,370.5754,-1.0246,95.7400,70.8476
05/07/2014,371.6028,1.1028,95.7400,61.2736
05/06/2014,370.4984,-1.1416,95.7400,61.2736
05/05/2014,371.6408,2.3708,95.7400,61.2736
05/02/2014,369.2747,-2.0353,95.7400,61.2736
05/01/2014,371.3068,0.5268,95.7400,61.2736
04/30/2014,370.7810,-1.3990,95.7400,67.0180
04/29/2014,372.1841,0.0441,95.7400,67.0180
04/28/2014,372.1405,-2.3195,95.7400,67.0180
04/25/2014,374.4610,0.6810,95.7400,67.0180
04/24/2014,373.7766,0.4866,95.7400,67.0180
04/23/2014,373.2905,0.1305,95.7400,68.9328
04/22/2014,373.1599,1.8099,95.7400,68.9328
04/21/2014,371.3496,1.7096,95.7400,68.9328
04/18/2014,369.6368,0.5768,95.7400,68.9328
04/17/2014,369.0556,-1.1444,95.7400,68.9328
04/16/2014,370.1997,0.1097,95.7400,67.9754
04/15/2014,370.0927,-1.5973,95.7400,67.9754
04/14/2014,371.6876,-2.3224,95.7400,67.9754
04/11/2014,374.0082,0.5882,95.7400,67.9754
04/10/2014,373.4202,1.5502,95.7400,67.9754
04/09/2014,371.8689,-1.5211,95.7400,67.9754
04/08/2014,373.3875,-0.1625,95.7400,67.9754
04/07/2014,373.5502,2.3202,95.7400,67.9754
04/04/2014,371.2317,-1.4583,95.7400,67.9754
04/03/2014,372.6858,-0.9242,95.7400,67.9754
04/02/2014,373.6131,3.2531,95.7400,67.9754
04/01/2014,370.3589,-0.9711,95.7400,67.9754
03/31/2014,371.3315,-2.9485,95.7400,67.9754
03/28/2014,374.2805,3.5905,95.7400,67.9754
03/27/2014,370.6872,0.1672,95.7400,67.9754
03/26/2014,370.5219,-1.4381,95.7400,67.9754
03/25/2014,371.9614,0.1014,95.7400,67.9754
03/24/2014,371.8603,0.7003,95.7400,67.9754
03/21/2014,371.1568,-3.2332,95.7400,67.9754
03/20/2014,374.3881,-1.8019,95.7400,67.9754
03/19/2014,376.1872,0.6072,95.7400,67.9754
03/18/2014,375.5819,1.4519,95.7400,67.9754
03/17/2014,374.1286,-0.6914,95.7400,67.9754
03/14/2014,374.8230,4.1430,95.7400,67.9754
03/13/2014,370.6833,1.1633,95.7400,67.9754
03/12/2014,369.5212,0.3012,95.7400,67.0180
03/11/2014,369.2225,-2.7575,95.7400,67.0180
03/10/2014,371.9797,2.0997,95.7400,67.0180
03/07/2014,369.8790,-1.0410,95.7400,67.0180
03/06/2014,370.9197,0.8997,95.7400,67.0180
03/05/2014,370.0192,-1.0008,95.7400,67.9754
03/04/2014,371.0243,2.5943,95.7400,67.9754
03/03/2014,368.4280,2.3980,95.7400,67.9754
02/28/2014,366.0260,-1.9840,95.7400,67.9754
02/27/2014,368.0058,-0.5542,95.7400,67.9754
02/26/2014,368.5610,0.1910,95.7400,67.0180
02/25/2014,368.3691,0.6691,95.7400,67.0180
02/24/2014,367.7037,-1.5164,95.7400,67.0180
02/21/2014,369.2234,-3.7566,95.7400,67.0180
02/20/2014,372.9792,0.0292,95.7400,67.0180
02/19/2014,372.9485,0.5185,95.7400,67.0180
02/18/2014,372.4338,-2.7462,95.7400,67.0180
02/17/2014,375.1762,5.4962,95.7400,67.0180
02/14/2014,369.6811,0.0211,95.7400,67.0180
02/13/2014,369.6570,0.3270,95.7400,67.0180
02/12/2014,369.3308,-2.6692,95.7400,67.9754
02/11/2014,371.9977,2.2177,95.7400,67.9754
02/10/2014,369.7754,0.3454,95.7400,67.9754
02/07/2014,369.4268,4.6668,95.7400,67.9754
02/06/2014,364.7597,0.3697,95.7400,67.9754
02/05/2014,364.3938,1.5138,95.7400,67.0180
02/04/2014,362.8800,-0.3800,95.7400,67.0180
02/03/2014,363.2585,2.5785,95.7400,67.0180
