Report Date,HINDSADDLE PRICE,HINDSADDLE CHANGE,HINDSADDLE %,HINDSADDLE WEIGHT
05/23/2019,402.9524,4.2137,45.5500,30.0630
05/22/2019,398.7387,6.7750,45.5500,30.5185
05/21/2019,391.9637,1.8467,45.5500,30.0630
05/20/2019,390.1170,-2.2778,45.5500,30.0630
05/17/2019,392.3948,0.7577,45.5500,30.0630
05/16/2019,391.6371,3.1921,45.5500,30.0630
05/15/2019,388.4450,-1.7266,45.5500,29.1520
05/14/2019,390.1716,-0.5908,45.5500,29.1520
05/13/2019,390.7624,-0.9282,45.5500,29.1520
05/10/2019,391.6906,-0.0092,45.5500,29.1520
05/09/2019,391.6998,-3.6046,45.5500,29.1520
05/08/2019,395.3044,-2.1532,45.5500,29.1520
05/07/2019,397.4576,-0.1235,45.5500,29.1520
05/06/2019,397.5811,-0.3385,45.5500,29.1520
05/03/2019,397.9196,0.4976,45.5500,29.1520
05/02/2019,397.4220,-2.2009,45.5500,29.1520
05/01/2019,399.6229,6.1596,45.5500,31.4295
04/30/2019,393.4633,3.7153,45.5500,31.4295
04/29/2019,389.7480,3.7848,45.5500,31.4295
04/26/2019,385.9632,3.7899,45.5500,31.4295
04/25/2019,382.1733,5.6262,45.5500,31.4295
04/24/2019,376.5471,1.2970,45.5500,32.3405
04/23/2019,375.2501,-0.6058,45.5500,32.3405
04/22/2019,375.8559,-1.2468,45.5500,32.3405
04/19/2019,377.1027,-4.1022,45.5500,32.3405
04/18/2019,381.2049,-3.4785,45.5500,32.3405
04/17/2019,384.6834,-1.9074,45.5500,32.3405
04/16/2019,386.5908,3.7083,45.5500,32.3405
04/15/2019,382.8825,-2.2001,45.5500,32.3405
04/12/2019,385.0826,0.3089,45.5500,32.3405
04/11/2019,384.7737,-1.3749,45.5500,32.3405
04/10/2019,386.1486,2.3055,45.5500,32.3405
04/09/2019,383.8431,-5.1105,45.5500,32.3405
04/08/2019,388.9536,4.2609,45.5500,32.3405
04/05/2019,384.6927,3.1767,45.5500,32.3405
04/04/2019,381.5160,-2.8311,45.5500,32.3405
04/03/2019,384.3471,-3.9066,45.5500,31.8850
04/02/2019,388.2537,-0.3523,45.5500,31.8850
04/01/2019,388.6060,2.6272,45.5500,31.8850
03/29/2019,385.9788,5.3223,45.5500,31.8850
03/28/2019,380.6565,0.7419,45.5500,31.8850
03/27/2019,379.9146,0.9393,45.5500,32.3405
03/26/2019,378.9753,2.5893,45.5500,32.3405
03/25/2019,376.3860,-2.9822,45.5500,32.3405
03/22/2019,379.3682,-1.8705,45.5500,32.3405
03/21/2019,381.2387,-0.3087,45.5500,32.3405
03/20/2019,381.5474,-1.8405,45.5500,32.3405
03/19/2019,383.3879,-4.5505,45.5500,32.3405
03/18/2019,387.9384,-5.8144,45.5500,32.3405
03/15/2019,393.7528,6.5976,45.5500,32.3405
03/14/2019,387.1552,1.2026,45.5500,32.3405
03/13/2019,385.9526,-4.5865,45.5500,31.4295
03/12/2019,390.5391,7.9787,45.5500,31.4295
03/11/2019,382.5604,-2.8041,45.5500,31.4295
03/08/2019,385.3645,-4.7476,45.5500,31.4295
03/07/2019,390.1121,2.4065,45.5500,31.4295
03/06/2019,387.7056,6.3053,45.5500,31.4295
03/05/2019,381.4003,-4.8621,45.5500,31.4295
03/04/2019,386.2624,5.7247,45.5500,31.8850
03/01/2019,380.5377,-4.4059,45.5500,31.8850
02/28/2019,384.9436,0.4215,45.5500,31.8850
02/27/2019,384.5221,3.8633,45.5500,31.8850
02/26/2019,380.6588,-1.6829,45.5500,31.8850
02/25/2019,382.3417,-3.0478,45.5500,31.8850
02/22/2019,385.3895,6.4656,45.5500,31.8850
02/21/2019,378.9239,-0.6053,45.5500,31.8850
02/20/2019,379.5292,-5.5189,45.5500,31.4295
02/19/2019,385.0481,3.8698,45.5500,31.4295
02/18/2019,381.1783,8.1061,45.5500,31.4295
02/15/2019,373.0722,4.6659,45.5500,31.4295
02/14/2019,368.4063,-2.4485,45.5500,30.0630
02/13/2019,370.8548,0.1953,45.5500,30.0630
02/12/2019,370.6595,-1.8034,45.5500,30.0630
02/11/2019,372.4629,-8.3389,45.5500,30.0630
02/08/2019,380.8018,-9.5379,45.5500,30.0630
02/07/2019,390.3397,4.7801,45.5500,30.0630
02/06/2019,385.5596,2.8806,45.5500,30.0630
02/05/2019,382.6790,-1.3656,45.5500,31.4295
02/04/2019,384.0446,-0.9449,45.5500,31.4295
02/01/2019,384.9895,-2.0383,45.5500,31.4295
01/31/2019,387.0278,-2.7314,45.5500,31.4295
01/30/2019,389.7592,-3.2783,45.5500,31.4295
01/29/2019,393.0375,3.9214,45.5500,31.4295
