Report Date,CODE,CUTS,FOB PRICE,CHANGE,%CARCASS,LBS
06/15/2020,,HINDSADDLE,,,,
06/15/2020,232,"LOINS, TRIMMED 4X4",542.1971,5.9949,5.7300,4.0110
06/15/2020,232,"LOINS, TRIMMED 1X1",708.5585,32.9957,3.5500,2.4850
06/15/2020,232E,"FLANK, UNTRIMMED **",118.3367,5.5620,2.8600,2.0020
06/15/2020,233A,"LEG, TROTTER OFF",381.7258,4.5820,15.8200,11.0740
06/15/2020,234,"LEG, BONELESS, TIED",532.6654,-7.3852,11.3800,7.9660
06/15/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.2010
06/15/2020,296,GROUND LAMB,511.3667,10.6010,1.9300,1.3510
06/15/2020,,SHRINK,,,0.3500,0.2450
06/12/2020,,FORESADDLE,,,,
06/12/2020,204,"RACK, 8-RIB MEDIUM",835.4656,-3.7078,5.6800,3.9760
06/12/2020,204C,"RACK, ROAST-READY, FRENCHED",1619.3444,9.0012,3.2400,2.2680
06/12/2020,209,BREAST **,297.2139,-1.9868,7.7400,5.4180
06/12/2020,207,"SHOULDERS, SQ-CUT",322.7271,-4.9646,22.9600,16.0720
06/12/2020,210,FORESHANK,413.4697,1.4740,3.2400,2.2680
06/12/2020,,NECK **,202.2324,-0.6186,2.3800,1.6660
06/12/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.4080
06/12/2020,296,GROUND LAMB,500.7657,-0.1673,1.9200,1.3440
06/12/2020,,SHRINK,,,0.3500,0.2450
06/12/2020,,HINDSADDLE,,,,
06/12/2020,232,"LOINS, TRIMMED 4X4",536.2022,-10.8605,5.7300,4.0110
06/12/2020,232,"LOINS, TRIMMED 1X1",675.5628,7.9963,3.5500,2.4850
06/12/2020,232E,"FLANK, UNTRIMMED **",112.7747,-1.1489,2.8600,2.0020
06/12/2020,233A,"LEG, TROTTER OFF",377.1438,-4.4721,15.8200,11.0740
06/12/2020,234,"LEG, BONELESS, TIED",540.0506,2.0344,11.3800,7.9660
06/12/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.2010
06/12/2020,296,GROUND LAMB,500.7657,-0.1673,1.9300,1.3510
06/12/2020,,SHRINK,,,0.3500,0.2450
06/11/2020,,FORESADDLE,,,,
06/11/2020,204,"RACK, 8-RIB MEDIUM",839.1734,-4.2174,5.6800,3.9760
06/11/2020,204C,"RACK, ROAST-READY, FRENCHED",1610.3432,-6.3006,3.2400,2.2680
06/11/2020,209,BREAST **,299.2007,-0.8033,7.7400,5.4180
06/11/2020,207,"SHOULDERS, SQ-CUT",327.6917,-0.3229,22.9600,16.0720
06/11/2020,210,FORESHANK,411.9957,0.5727,3.2400,2.2680
06/11/2020,,NECK **,202.8510,4.1828,2.3800,1.6660
06/11/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.4080
06/11/2020,296,GROUND LAMB,500.9330,5.6515,1.9200,1.3440
06/11/2020,,SHRINK,,,0.3500,0.2450
06/11/2020,,HINDSADDLE,,,,
06/11/2020,232,"LOINS, TRIMMED 4X4",547.0627,0.1380,5.7300,4.0110
06/11/2020,232,"LOINS, TRIMMED 1X1",667.5665,29.6642,3.5500,2.4850
06/11/2020,232E,"FLANK, UNTRIMMED **",113.9236,1.9059,2.8600,2.0020
06/11/2020,233A,"LEG, TROTTER OFF",381.6159,2.9669,15.8200,11.0740
06/11/2020,234,"LEG, BONELESS, TIED",538.0162,-2.0349,11.3800,7.9660
06/11/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.2010
06/11/2020,296,GROUND LAMB,500.9330,5.6515,1.9300,1.3510
06/11/2020,,SHRINK,,,0.3500,0.2450
06/10/2020,,FORESADDLE,,,,
06/10/2020,204,"RACK, 8-RIB MEDIUM",843.3908,0.7105,5.6800,3.8056
06/10/2020,204C,"RACK, ROAST-READY, FRENCHED",1616.6438,-14.9459,3.2400,2.1708
06/10/2020,209,BREAST **,300.0040,1.1597,7.7400,5.1858
06/10/2020,207,"SHOULDERS, SQ-CUT",328.0146,1.5013,22.9600,15.3832
06/10/2020,210,FORESHANK,411.4230,-1.0386,3.2400,2.1708
06/10/2020,,NECK **,198.6682,2.2100,2.3800,1.5946
06/10/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3048
06/10/2020,296,GROUND LAMB,495.2815,-5.5512,1.9200,1.2864
06/10/2020,,SHRINK,,,0.3500,0.2345
06/10/2020,,HINDSADDLE,,,,
06/10/2020,232,"LOINS, TRIMMED 4X4",546.9247,21.0461,5.7300,3.8391
06/10/2020,232,"LOINS, TRIMMED 1X1",637.9023,-8.9293,3.5500,2.3785
06/10/2020,232E,"FLANK, UNTRIMMED **",112.0177,7.1088,2.8600,1.9162
06/10/2020,233A,"LEG, TROTTER OFF",378.6490,-5.6423,15.8200,10.5994
06/10/2020,234,"LEG, BONELESS, TIED",540.0511,3.6731,11.3800,7.6246
06/10/2020,,FAT and BONE,10.0000,0.0000,7.4300,4.9781
06/10/2020,296,GROUND LAMB,495.2815,-5.5512,1.9300,1.2931
06/10/2020,,SHRINK,,,0.3500,0.2345
06/09/2020,,FORESADDLE,,,,
06/09/2020,204,"RACK, 8-RIB MEDIUM",842.6803,-9.9611,5.6800,3.8056
06/09/2020,204C,"RACK, ROAST-READY, FRENCHED",1631.5897,1.9850,3.2400,2.1708
06/09/2020,209,BREAST **,298.8443,-0.5619,7.7400,5.1858
06/09/2020,207,"SHOULDERS, SQ-CUT",326.5133,0.0235,22.9600,15.3832
06/09/2020,210,FORESHANK,412.4616,0.9280,3.2400,2.1708
06/09/2020,,NECK **,196.4582,0.3413,2.3800,1.5946
06/09/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3048
06/09/2020,296,GROUND LAMB,500.8327,-3.4767,1.9200,1.2864
06/09/2020,,SHRINK,,,0.3500,0.2345
06/09/2020,,HINDSADDLE,,,,
06/09/2020,232,"LOINS, TRIMMED 4X4",525.8786,10.9199,5.7300,3.8391
06/09/2020,232,"LOINS, TRIMMED 1X1",646.8316,4.8931,3.5500,2.3785
06/09/2020,232E,"FLANK, UNTRIMMED **",104.9089,-101.2940,2.8600,1.9162
06/09/2020,233A,"LEG, TROTTER OFF",384.2913,-3.3933,15.8200,10.5994
06/09/2020,234,"LEG, BONELESS, TIED",536.3780,0.7341,11.3800,7.6246
06/09/2020,,FAT and BONE,10.0000,0.0000,7.4300,4.9781
06/09/2020,296,GROUND LAMB,500.8327,-3.4767,1.9300,1.2931
06/09/2020,,SHRINK,,,0.3500,0.2345
06/08/2020,,FORESADDLE,,,,
06/08/2020,204,"RACK, 8-RIB MEDIUM",852.6414,-18.1648,5.6800,3.8056
06/08/2020,204C,"RACK, ROAST-READY, FRENCHED",1629.6047,22.5519,3.2400,2.1708
06/08/2020,209,BREAST **,299.4062,2.0848,7.7400,5.1858
06/08/2020,207,"SHOULDERS, SQ-CUT",326.4898,-1.5577,22.9600,15.3832
06/08/2020,210,FORESHANK,411.5336,2.5944,3.2400,2.1708
06/08/2020,,NECK **,196.1169,0.2998,2.3800,1.5946
06/08/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3048
06/08/2020,296,GROUND LAMB,504.3094,-24.1144,1.9200,1.2864
06/08/2020,,SHRINK,,,0.3500,0.2345
06/08/2020,,HINDSADDLE,,,,
06/08/2020,232,"LOINS, TRIMMED 4X4",514.9587,-4.9028,5.7300,3.8391
06/08/2020,232,"LOINS, TRIMMED 1X1",641.9385,-6.0690,3.5500,2.3785
06/08/2020,232E,"FLANK, UNTRIMMED **",206.2029,-0.8937,2.8600,1.9162
06/08/2020,233A,"LEG, TROTTER OFF",387.6846,-8.4334,15.8200,10.5994
06/08/2020,234,"LEG, BONELESS, TIED",535.6439,39.0937,11.3800,7.6246
06/08/2020,,FAT and BONE,10.0000,0.0000,7.4300,4.9781
06/08/2020,296,GROUND LAMB,504.3094,-24.1144,1.9300,1.2931
06/08/2020,,SHRINK,,,0.3500,0.2345
06/05/2020,,FORESADDLE,,,,
06/05/2020,204,"RACK, 8-RIB MEDIUM",870.8062,-133.0357,5.6800,3.8056
06/05/2020,204C,"RACK, ROAST-READY, FRENCHED",1607.0528,18.3496,3.2400,2.1708
06/05/2020,209,BREAST **,297.3214,0.6368,7.7400,5.1858
06/05/2020,207,"SHOULDERS, SQ-CUT",328.0475,-0.1454,22.9600,15.3832
06/05/2020,210,FORESHANK,408.9392,-4.4925,3.2400,2.1708
06/05/2020,,NECK **,195.8171,0.7858,2.3800,1.5946
06/05/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3048
06/05/2020,296,GROUND LAMB,528.4238,0.0316,1.9200,1.2864
06/05/2020,,SHRINK,,,0.3500,0.2345
06/05/2020,,HINDSADDLE,,,,
06/05/2020,232,"LOINS, TRIMMED 4X4",519.8615,28.3565,5.7300,3.8391
06/05/2020,232,"LOINS, TRIMMED 1X1",648.0075,-6.2087,3.5500,2.3785
06/05/2020,232E,"FLANK, UNTRIMMED **",207.0966,-1.1097,2.8600,1.9162
06/05/2020,233A,"LEG, TROTTER OFF",396.1180,-0.6920,15.8200,10.5994
06/05/2020,234,"LEG, BONELESS, TIED",496.5502,-0.1836,11.3800,7.6246
06/05/2020,,FAT and BONE,10.0000,0.0000,7.4300,4.9781
06/05/2020,296,GROUND LAMB,528.4238,0.0316,1.9300,1.2931
06/05/2020,,SHRINK,,,0.3500,0.2345
06/04/2020,,FORESADDLE,,,,
06/04/2020,204,"RACK, 8-RIB MEDIUM",1003.8419,12.6713,5.6800,3.8056
06/04/2020,204C,"RACK, ROAST-READY, FRENCHED",1588.7032,8.4725,3.2400,2.1708
06/04/2020,209,BREAST **,296.6846,0.2526,7.7400,5.1858
06/04/2020,207,"SHOULDERS, SQ-CUT",328.1929,1.1426,22.9600,15.3832
06/04/2020,210,FORESHANK,413.4317,-3.5496,3.2400,2.1708
06/04/2020,,NECK **,195.0313,-0.6212,2.3800,1.5946
06/04/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3048
06/04/2020,296,GROUND LAMB,528.3922,2.9573,1.9200,1.2864
06/04/2020,,SHRINK,,,0.3500,0.2345
06/04/2020,,HINDSADDLE,,,,
06/04/2020,232,"LOINS, TRIMMED 4X4",491.5050,-13.9911,5.7300,3.8391
06/04/2020,232,"LOINS, TRIMMED 1X1",654.2162,4.6925,3.5500,2.3785
06/04/2020,232E,"FLANK, UNTRIMMED **",208.2063,11.0146,2.8600,1.9162
06/04/2020,233A,"LEG, TROTTER OFF",396.8100,-3.5950,15.8200,10.5994
06/04/2020,234,"LEG, BONELESS, TIED",496.7338,4.7674,11.3800,7.6246
06/04/2020,,FAT and BONE,10.0000,0.0000,7.4300,4.9781
06/04/2020,296,GROUND LAMB,528.3922,2.9573,1.9300,1.2931
06/04/2020,,SHRINK,,,0.3500,0.2345
06/03/2020,,FORESADDLE,,,,
06/03/2020,204,"RACK, 8-RIB MEDIUM",991.1706,1.7749,5.6800,3.8624
06/03/2020,204C,"RACK, ROAST-READY, FRENCHED",1580.2307,0.1368,3.2400,2.2032
06/03/2020,209,BREAST **,296.4320,-2.3090,7.7400,5.2632
06/03/2020,207,"SHOULDERS, SQ-CUT",327.0503,-6.4379,22.9600,15.6128
06/03/2020,210,FORESHANK,416.9813,-2.7522,3.2400,2.2032
06/03/2020,,NECK **,195.6525,-4.2309,2.3800,1.6184
06/03/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3392
06/03/2020,296,GROUND LAMB,525.4349,-1.3905,1.9200,1.3056
06/03/2020,,SHRINK,,,0.3500,0.2380
06/03/2020,,HINDSADDLE,,,,
06/03/2020,232,"LOINS, TRIMMED 4X4",505.4961,-14.1766,5.7300,3.8964
06/03/2020,232,"LOINS, TRIMMED 1X1",649.5237,2.9789,3.5500,2.4140
06/03/2020,232E,"FLANK, UNTRIMMED **",197.1917,81.0275,2.8600,1.9448
06/03/2020,233A,"LEG, TROTTER OFF",400.4050,2.8445,15.8200,10.7576
06/03/2020,234,"LEG, BONELESS, TIED",491.9664,25.8161,11.3800,7.7384
06/03/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.0524
06/03/2020,296,GROUND LAMB,525.4349,-1.3905,1.9300,1.3124
06/03/2020,,SHRINK,,,0.3500,0.2380
06/02/2020,,FORESADDLE,,,,
06/02/2020,204,"RACK, 8-RIB MEDIUM",989.3957,14.1600,5.6800,3.8624
06/02/2020,204C,"RACK, ROAST-READY, FRENCHED",1580.0939,-0.7521,3.2400,2.2032
